year,plotid,species,live,dead,BAG
2019,VR20N,Pinjef,1,0,20
2019,VR20N,Abimag,6,4,20
2019,VR20N,pincon,3,0,20
2019,VR21N,pincon,9,0,20
2019,VR21N,pinjef,0,1,20
2019,VR21N,abicon,2,3,20
2019,VR21N,abimag,4,2,20
2019,VR22N,pincon,12,5,20
2019,VR22N,abimag,1,0,20
2019,VR24N,abicon,5,0,20
2019,VR24N,abimag,1,0,20
2019,VR24N,pincon,3,0,20
2019,VR25N,abicon,14,1,20
2019,VR25N,pincon,7,0,20
2019,VR25N,abimag,1,0,20
2019,VR25N,pinjef,1,0,20
2019,VR25S,pinjef,1,0,20
2019,VR25S,abicon,5,0,20
2019,VR25S,pincon,1,0,20
2019,VR26N,pincon,9,1,20
2019,VR26N,abicon,4,0,20
2019,VR26N,pinjef,0,1,20
2019,VR26S,pincon,5,0,20
2019,VR26S,abicon,8,1,20
2019,VR40E,abimag,7,1,20
2019,VR40E,pincon,1,0,20
2019,VR40E,pinjef,2,0,20
2019,VR40E,abicon,1,0,20
2019,VR35N,pincon,5,0,20
2019,VR35N,abicon,6,0,20
2019,VR35N,pop tre,1,0,20
2019,VR1N,abimag,8,4,20
2019,VR1N,pincon,3,0,20
2019,VR2N,pincon,1,0,20
2019,VR2N,abicon,6,3,20
2019,VR2N,abimag,14,2,20
2019,VR30N,pinjef,2,0,20
2019,VR30N,abimag,2,3,20
2019,VR30N,abimag,1,5,20
2019,VR30N,pincon,4,0,20
2019,VR14N,abicon,2,0,20
2019,VR14N,abimag,6,0,20
2019,VR14N,pincon,1,0,20
2019,VR4N,abicon,7,0,20
2019,VR4N,pincon,1,0,20
2019,VR4N,poptre,1,0,20
2019,VR4N,abimag,2,0,20
2019,VR3N,abicon,6,0,20
2019,VR3N,abimag,11,3,20
2019,VR33N,pincon,3,0,20
2019,VR33N,poptre,4,0,20
2019,VR33N,abicon,1,0,20
2019,VR19,abimag,8,1,20
2019,VR19,pincon,2,0,20
2019,VR19,pinmon,1,0,20
2019,VR16,abicon,5,0,20
2019,VR16,pinjef,7,0,20
2019,VR16,pincon,1,0,20
2019,VR10,Abimag,8,4,20
2019,VR10,pincon,4,0,20
2019,VR4,abicon,1,3,20
2019,VR4,pincon,4,0,20
2019,VR4,poptre,1,1,20
2019,VR3,abicon,0,0,20
2019,VR3,abimag,0,0,20
2019,VR26,abicon,2,0,20
2019,VR26,pincon,6,0,20
2019,VR2,pincon,4,0,20
2019,VR2,abicon,0,0,20
2019,VR2,abimag,4,3,20
2019,VR22,Abimag,9,0,20
2019,VR22,abicon,1,0,20
2019,VR22,pincon,1,0,20
2019,VR21,pincon,4,0,20
2019,VR21,abimag,3,1,20
2019,VR30,abimag,7,0,20
2019,VR30,pinjef,3,0,20
2019,VR44,poptre,3,1,20
2019,VR44,abicon,2,0,20
2019,VR44,pincon,2,0,20
2019,VR40,pincon,0,0,20
2019,VR40,abicon,3,0,20
2019,VR40,pinjef,2,0,20
2019,VR40,abimag,5,1,20
2019,VR14,abimag,2,3,20
2019,VR14,abicon,3,0,20
2019,VR13,abicon,6,0,20
2019,VR13,pincon,3,1,20
2019,VR12,abimag,9,0,20
2019,VR12,abicon,3,0,20
2019,VR34,pincon,7,1,20
2019,VR34,abicon,4,0,20
2019,VR35,pinjef,2,0,20
2019,VR35,abimag,2,0,20
2019,VR35,pincon,5,0,20
2019,VR35,abicon,0,0,20
2019,VR31,pincon,7,0,20
2019,VR31,abicon,4,2,20
2019,VR31,poptre,1,0,20
2019,VR31,abimag,1,2,20
2019,VR23,pincon,1,0,20
2019,VR23,abicon,9,1,20
2019,VR23,alninc,0,0,20
2019,VR23,abimag,9,0,20
2019,VR20,pincon,5,0,20
2019,VR20,abimag,9,0,20
2019,VR1,abimag,11,3,20
2019,VR1,pinmon,1,0,20
2019,VR11,abimag,4,3,20
2019,VR11,pinmon,6,0,20
2019,VR11,abicon,2,0,20
2019,VR29,pincon,2,5,20
2019,VR29,abimag,15,2,20
2019,VR29,abicon,1,0,20
2019,VR29,alninc,0,0,20
2019,VR16N,pincon,7,1,20
2019,VR16N,abicon,10,0,20
2019,VR43,poptre,5,0,20
2019,VR43,abicon,6,0,20
2019,VR43,pincon,2,0,20
2019,VR25,abicon,12,1,20
2019,VR25,pincon,11,0,20
2019,VR24,abicon,5,0,20
2019,VR24,pincon,4,5,20
2019,VR24,abimag,1,0,20
2019,VR52,pincon,8,4,20
2019,VR33,abicon,14,0,20
2019,VR33,pincon,3,2,20
2019,VR33,abimag,2,0,20
2019,VR10N,pinmon,2,0,20
2019,VR10N,abimag,6,2,20
2019,VR11N,abimag,8,2,20
2019,VR11N,pinjef,1,0,20
2019,VR12N,abimag,17,0,20
2019,VR12N,pinjef,1,0,20
2019,VR12N,pincon,2,0,20
2019,VR13N,abicon,5,0,20
2019,VR13N,pinjef,1,0,20
2019,VR13N,pincon,2,0,20
2019,VR31N,pincon,7,0,20
2019,VR31N,abicon,4,2,20
2019,VR31N,abimag,1,2,20
2019,VR31N,poptre,1,0,20
