site,plot_id,year,pre_post_fire,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
Valentine,VR20N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR24N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR25N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR25S,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,90,0.35,0.35,0.07,17.4,1,
Valentine,VR26N,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR26N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR26S,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR40E,2019,prefire,180,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,0,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,90,0,na,na,na,na,NO FUELS
Valentine,VR35N,2019,prefire,180,0.8,0.8,0.21,2.2,4,
Valentine,VR35N,2019,prefire,270,0,na,na,na,na,NO FUELS
Valentine,VR1N,2019,prefire,0,13,13,0.3,2.75,1,
Valentine,VR1N,2019,prefire,0,56,56,0.4,11.8,2,
Valentine,VR1N,2019,prefire,90,17,17,0.3,4.1,3,
Valentine,VR1N,2019,prefire,90,35,35,0.9,9.8,na,
