year,plotid,tot_veg_cover,TOT_cover,TOT_ht_m,DT_cover,DT_ht_m,TOV_cover,TOV_ht_m,TSA_cover,TSA_ht_m,TSE_cover,TSE_ht_m,SH_cover,SH_ht_m,DS_cover,DS_ht_m,ST_cover,ST_ht_m,SM_cover,SM_ht_m,SL_cover,SL_ht_m,TOF_cover,TOF_ht_m,TOG_cover,TOG_ht_m
2019,VR1,80,70,20,2,16.2,70,20,0.5,0.5,na,na,0.5,0.15,0,na,0,na,0,na,0.5,0.15,0.5,-,60,0.25
2019,VR10,70,60,22.5,1,8.8,59,22.5,0.5,0.4,na,na,0.5,0.3,0,na,0,na,0,na,0.5,0.3,1,0.2,70,0.3
2019,VR10N,40,36,19.2,4,21.2,35.5,19.2,0.5,1.65,na,na,20,-,0.5,0.42,0,na,0,na,19.5,0.4,0.5,0.44,40,0.6
2019,VR11,68,66,24.9,0.5,21.3,65,24.9,1,1.4,na,na,0,na,0,na,0,na,0,na,0,na,0.5,0.8,8,0.26
2019,VR11N,90,40,40,2,31.8,37.5,40,0.5,0.7,na,na,0.5,-,0,na,0,na,0.5,1.05,0,na,0.5,0.37,50,0.68
2019,VR12,87,80.5,24.2,0.5,13,80,24.2,0.5,0.26,na,na,0.5,0.26,0,na,0,na,0.5,0.26,0,na,1,0.59,5,0.32
2019,VR12N,93,85,27.4,0,na,84,27.4,1,1.6,na,na,10,-,0.5,0.85,0,na,5.5,0.87,4,0.3,3,0.7,5,0.9
2019,VR13,96,55.5,22.2,0.5,32.1,55,22.2,0.5,3.6,na,na,17,54,0,na,0,na,17,54,0,na,20,63,3,26.5
2019,VR13N,95,85,25.8,3,12.6,81,25.8,1,1.78,na,na,3,-,0,na,0,na,0.5,1.12,2.5,0.43,2,0.99,2,1.2
2019,VR14,95,75,24,1,28,72,24,0.5,0.6,na,na,1.5,0.6,0.5,0.3,0,na,0.5,0.6,1,0.4,1,0.1,25,0.2
2019,VR14N,93,2,20.2,0,na,1,20.2,1,1.1,na,na,29.5,-,0.5,-,0,na,28,0.7,1,0.4,24,0.3,5,0.4
