year,plotid,species,dbh_cm,age,tallest_ht_cm,tallest_age,tallest_growth_cm
2019,VR20N,-,-,-,-,-,-
2019,VR21N,-,-,-,-,-,-
2019,VR22N,-,-,-,-,-,-
2019,VR24N,-,-,-,-,-,-
2019,VR25N,-,-,-,-,-,-
2019,VR25S,-,-,-,-,-,-
2019,VR26N,-,-,-,-,-,-
2019,VR26S,-,-,-,-,-,-
2019,VR40E,ABIMAG,2.3,-,0.75,-,-
2019,VR35N,-,-,-,-,-,-
2019,VR1N,-,-,-,-,-,-
2019,VR2N,ABICON,6.3,-,-,-,-
2019,VR30N,-,-,-,-,-,-
2019,VR14N,-,-,-,-,-,-
2019,VR4N,-,-,-,-,-,-
2019,VR3N,-,-,-,-,-,-
2019,VR33N,-,-,-,-,-,-
2019,VR19,-,-,-,-,-,-
2019,VR16,-,-,-,-,-,-
2019,VR10,-,-,-,-,-,-
2019,VR4,-,-,-,-,-,-
2019,VR3,-,-,-,-,-,-
2019,VR26,-,-,-,-,-,-
2019,VR2,-,-,-,-,-,-
2019,VR22,-,-,-,-,-,-
2019,VR21,ABIES SPP,1.9,-,0.85,11,0.5
2019,VR30,-,-,-,-,-,-
2019,VR44,-,-,-,-,-,-
2019,VR40,ABICON,1,-,0.15,-,-
2019,VR14,ABICON,1.62,2.2,-,-,-
2019,VR15,ABICON,2.1,5,-,-,-
2019,VR13,-,-,-,-,-,-
2019,VR12,-,-,-,-,-,-
2019,VR34,-,-,-,-,-,-
2019,VR35,-,-,-,-,-,-
2019,VR31,-,-,-,-,-,-
2019,VR23,ABICON,5,-,190,-,-
2019,VR20,-,-,-,-,-,-
2019,VR1,-,-,-,-,-,-
2019,VR11,-,-,-,-,-,-
2019,VR29,-,-,-,-,-,-
2019,VR16N,-,-,-,-,-,-
2019,VR43,POPTRE,2.4,18,-,-,-
2019,VR43,POPTRE,3.5,17,-,-,-
2019,VR43,POPTRE,1,10,-,-,-
2019,VR43,POPTRE,0.7,8,-,-,-
2019,VR43,POPTRE,1.5,9,-,-,-
2019,VR43,POPTRE,1.4,9,-,-,-
2019,VR25,-,-,-,-,-,-
2019,VR24,-,-,-,-,-,-
2019,VR52,-,-,-,-,-,-
2019,VR33,-,-,-,-,-,-
2019,VR10N,-,-,-,-,-,-
2019,VR11N,-,-,-,-,-,-
2019,VR12N,-,-,-,-,-,-
2019,VR13N,-,-,-,-,-,-
2019,VR31N,PINCON,2.7,26,153,-,1.7
2019,VR31N,ABICON,3.6,26,150,-,1
2019,VR31N,PINCON,4,-,220,-,-
